question,context
What is the influenza season?,"Each year, 5% to 20% of the U.S. population is infected with the influenza virus. The influenza season occurs annually between the months of October and May, with 3,000 to 49,000 influenza-related deaths each year. Since complications delay recuperation, those in high-risk groups need to be monitored carefully. High-risk groups are more vulnerable to severe illness and complications of the disease and include: people older than 65 years of age, children under 2 years of age, pregnant women, obese patients, and patients with other serious comorbid conditions. This article provides home healthcare clinicians with important information on influenza, how it is transmitted, influenza virus types and changes in the virus, signs and symptoms of complications, and measures to prevent the occurrence and transmission of influenza."
What is the DAPK1 promoter gene?,"BACKGROUND: Death-associated protein kinase1 (DAPK1) is an important tumor suppressor gene. DNA methylation can inactivate genes, which has often been observed in the carcinogenesis of cervical cancer. During the past several decades, many studies have explored the association between DAPK1 promoter methylation and cervical cancer. However, many studies were limited by the small samples size and the findings were inconsistent among them. Thus, we conducted a meta-analysis to assess the association between DAPK1 promoter methylation and cervical cancer. METHODS: We systematically searched eligible studies in the PubMed, Web of Science, EMBASE and CNKI databases. Using meta-regression, subgroup analysis and sensitivity analysis, we explored the potential sources of heterogeneity. The odds ratio (OR) and 95% confidence interval (95% CI) were calculated by Meta-Analysis in R. RESULTS: A total of 15 studies from 2001 to 2012, comprising 818 tumor tissues samples and 671 normal tissues samples, were analyzed in this meta-analysis. The frequencies of DAPK1 promoter methylation ranged from 30.0% to 78.6% (median, 59.3%) in cervical cancer tissue and 0.0% to 46.7% (median, 7.8%) in normal cervical tissue. The pooled OR was 19.66 (95%CI = 8.72-44.31) with the random effects model, and heterogeneity was found through the sensitivity analysis. The I2 = 60% (P = 0.002) decreased to I2 = 29.2% (P = 0.144) when one heterogeneous study was excluded, and the pooled OR increased to 21.80 (95%CI = 13.44-35.36) with the fixed effects model. CONCLUSION: The results suggested a strong association between DAPK1 promoter methylation and cervical cancer. This study also indicated that DAPK1 promoter methylation may be a biomarker during cervical carcinogenesis that might serve as an early indication of cervical cancer."
What is the only opportunity to obtain diagnostic tissue to diagnose and subclassify RCC?,"Fine-needle aspiration has assumed an increasingly important role in the diagnosis and management of patients with advanced stage cancer. Given its predilection for metastases to distant sites and organs at the time of presentation, metastatic renal cell carcinoma (RCC) is not infrequently encountered in the setting of fine-needle aspiration for initial diagnosis. In some instances, fine-needle aspiration may be the only opportunity to obtain diagnostic tissue to diagnose and subclassify RCC. Therefore, cytopathologists and cytotechnologists should be familiar with and recognize the cytomorphology of RCC and the ancillary studies that can be used to confirm and subclassify RCC. Herein, we describe a case of metastatic RCC initially diagnosed on fine-needle aspiration, discuss the cytomorphologic features of RCC subtypes, and review pertinent ancillary immunohistochemical and cytogenetic adjuncts."
What was the effect of the pan-aurora kinase inhibitor tozas,"Aurora kinase inhibitors displayed activity in pre-clinical neuroblastoma models. Here, we studied the effects of the pan-aurora kinase inhibitor tozasertib (VX680, MK-0457) and the aurora kinase inhibitor alisertib (MLN8237) that shows some specificity for aurora kinase A over aurora kinase B in a panel of neuroblastoma cell lines with acquired drug resistance. Both compounds displayed anti-neuroblastoma activity in the nanomolar range. The anti-neuroblastoma mechanism included inhibition of aurora kinase signalling as indicated by decreased phosphorylation of the aurora kinase substrate histone H3, cell cycle inhibition in G2/M phase, and induction of apoptosis. The activity of alisertib but not of tozasertib was affected by ABCB1 expression. Aurora kinase inhibitors induced a p53 response and their activity was enhanced in combination with the MDM2 inhibitor and p53 activator nutlin-3 in p53 wild-type cells. In conclusion, aurora kinases are potential drug targets in therapy-refractory neuroblastoma, in particular for the vast majority of p53 wild-type cases."
What is a Counter-Selection Marker?,A Suitable Streptomycin-Resistant Mutant for Constructing Unmarked In-Frame Gene Deletions Using rpsL as a Counter-Selection Marker.
What is the second-line treatment of Advanced Gastric Cancer?,Chemotherapy or Targeted Therapy as Second-Line Treatment of Advanced Gastric Cancer. A Systematic Review and Meta-Analysis of Published Studies.
What is the name of the other name of the name of the name of the name of the,"AS, DISH or something else?"
What is the cause of the huntingtin protein to aggregate?,"Huntington's disease (HD) is neurodegenerative disorder for which the mutation results in an extra-long tract of glutamines that causes the huntingtin protein to aggregate. It is characterized by neurological symptoms and brain pathology that is associated with nuclear and cytoplasmic aggregates and with transcriptional deregulation. Despite the fact that HD has been recognized principally as a neurological disease, there are multiple epidemiological studies showing that HD patients exhibit a high rate of cardiovascular events leading to heart failure. To unravel the mechanistic basis of cardiac dysfunction in HD, we employed a wide range of molecular techniques using the well-established genetic R6/2 mouse model that develop a considerable degree of the cardiac atrophy at end stage disease. We found that chronic treatment with isoproterenol, a potent beta-adrenoreceptor agonist, did not change the overall gross morphology of the HD murine hearts. However, there was a partial response to the beta-adrenergenic stimulation by the further re-expression of foetal genes. In addition we have profiled the expression level of Hdacs in the R6/2 murine hearts and found that the isoproterenol stimulation of Hdac expression was partially blocked. For the first time we established the Hdac transcriptional profile under hypertrophic conditions and found 10 out of 18 Hdacs to be markedly deregulated. Therefore, we conclude that R6/2 murine hearts are not able to respond to the chronic isoproterenol treatment to the same degree as wild type hearts and some of the hypertrophic signals are likely attenuated in the symptomatic HD animals."
What is a Novel DPP-4 Inhibitor?,"Combining MK626, a Novel DPP-4 Inhibitor, and Low-Dose Monoclonal CD3 Antibody for Stable Remission of New-Onset Diabetes in Mice."
What is the name of the Virus-Like Particles derived from?,Chimaeric Virus-Like Particles Derived from Consensus Genome Sequences of Human Rotavirus Strains Co-Circulating in Africa.
What is the highest level of Ig?,"BACKGROUND: Immunoglobulins (Ig) are essential for combating infectious disease. However, high levels are associated with a range of diseases and/or poor health behaviours, such as autoimmune diseases, chronic infection, HIV and excessive alcohol consumption. In the present analyses, we extend this body of work by examining whether higher levels of serum Ig G, A and M are associated with increased mortality risk. METHODS: Participants were 4255 Vietnam-era, former US army personnel (the Vietnam Experience Study). From military service files, telephone interviews in 1983 and a medical examination in 1986, sociodemographic, and health data were collected. Contemporary morning fasted blood samples were taken from which IgG, IgA and IgM concentrations were determined. Mortality surveillance over 15 years gave rise to deaths ascribed to all-causes, cardiovascular disease mortality, all cancers combined mortality, external cause and 'other' causes (predominantly comprising deaths due to infectious disease). Cox proportional hazard models were utilised to compute HRs per SD increase in Ig which were first adjusted for age and then additionally adjusting for a range of candidate confounders. RESULTS: In multiply adjusted analyses, in general, the higher the immunoglobulin concentration, the greater the risk of death. Thus, IgA (HR=2.0 95% CI 1.47 to 2.73), IgM (HR=1.5 95% CI 1.11 to 1.91) and IgG (HR=5.8 95% CI 3.38 to 9.95) were positively related to all-cause mortality. Corresponding results for 'other' causes of mortality were 4.7 (2.64 to 8.19), 3.5 (2.29 to 5.45) and 33.4 (15.13 to 73.64). CONCLUSIONS: In the present study, high levels of Ig are associated with an elevated risk of death from total and 'other' causes, mainly infectious disease. High levels of Ig, particularly IgG, may signal subclinical disease."
What is the Diagnosis?,Transient Abnormal Myelopoiesis in Neonates: GATA Get the Diagnosis.
What is the Onset of Arthritis in a Mouse Model?,Psoriatic Inflammation Facilitates the Onset of Arthritis in a Mouse Model.
What is the Validity of Job Exposure Matrix for Psychosocial Factors at,Evaluation of the Validity of Job Exposure Matrix for Psychosocial Factors at Work.
What was the PCR assay for?,"BACKGROUND: Circulating tumor cells (CTCs) are promising surrogate markers for systemic disease, and their molecular characterization might be relevant to guide more individualized cancer therapies. To enable fast and efficient purification of individual CTCs, we developed a work flow from CellSearch(TM) cartridges enabling high-resolution genomic profiling on the single-cell level. METHODS: Single CTCs were sorted from 40 CellSearch samples from patients with metastatic breast cancer using a MoFlo XDP cell sorter. Genomes of sorted single cells were amplified using an adapter-linker PCR. Amplification products were analyzed by array-based comparative genomic hybridization, a gene-specific quantitative PCR (qPCR) assay for cyclin D1 (CCND1) locus amplification, and genomic sequencing to screen for mutations in exons 1, 9, and 20 of the phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha (PIK3CA) gene and exons 5, 7, and 8 of the tumor protein p53 (TP53) gene. RESULTS: One common flow-sorting protocol was appropriate for 90% of the analyzed CellSearch cartridges, and the detected CTC numbers correlated positively with those originally detected with the CellSearch system (R(2) = 0.9257). Whole genome amplification was successful in 72.9% of the sorted single CTCs. Over 95% of the cells displayed chromosomal aberrations typical for metastatic breast cancers, and amplifications at the CCND1 locus were validated by qPCR. Aberrant CTCs from 2 patients harbored mutations in exon 20 of the PIK3CA gene. CONCLUSIONS: This work flow enabled effective CTC isolation and provided insights into genomic alterations of CTCs in metastatic breast cancer. This approach might facilitate further molecular characterization of rare CTCs to increase understanding of their biology and as a basis for their molecular screening in the clinical setting."
What is the province of Brescia?,Prevalence of Behcet's disease in the province of Brescia in northern Italy.
What is the rHSP70?,"Th1 Stimulatory Proteins of Leishmania donovani: Comparative Cellular and Protective Responses of rTriose Phosphate Isomerase, rProtein Disulfide Isomerase and rElongation Factor-2 in Combination with rHSP70 against Visceral Leishmaniasis."
What was the cause of cyclooxygenase-1 ubiquitination,Serum ubiquitin via CXC chemokine receptor 4 triggered cyclooxygenase-1 ubiquitination possibly involved in the pathogenesis of aspirin resistance.
What was the primary aim of the study?,"Abstract Objective: Current radiation therapy capacities in Serbia and most of Eastern Europe are heavily lagging behind population needs. Primary study aim was assessment of direct costs of cancer medical care for patients suffering from cancer with assigned radiotherapy based treatment protocols. Identification of key cost drivers and trends during 2010-2013 comparing brachytherapy and teleradiotherapy was secondary objective of the study. Methods: Retrospective, bottom-up database analysis was conducted on electronic discharge invoices. Payer's perspective has been adopted and one year long time horizon. Total sample size was 2544 patients during four years long observation period (2010-2013). Sample consisted of all patients with confirmed malignancy disorder receiving inpatient radiation therapy in a large university hospital. Results: Diagnostics and treatment cost of cancer in the largest Western Balkans market of Serbia were heavily dominated by radiation therapy related direct medical costs. Total costs of care as well as mean cost per patient were steadily decreasing due to budget cuts caused by global recession. Paradox is that at the same time budget share of radiotherapy increased for almost 15% and in value based terms for euro 109 per patient (in total euro 109,330). Second ranked cost drivers were nursing care and imaging diagnostics. Costs of high-tech visualising examinations were heavily dominated by nuclear medicine tests. Conclusion: Budget impact of radiation oncology to the large tertiary care university clinics of the Balkans is likely to remain significant in future. Brachytherapy exhibited slow growth pattern while teleradiotherapy remained stable in terms of value based turnover of medical services. Upcoming heavy investment into national network of radiotherapy facilities will emphasize the unsatisfied needs. Huge contemporary budget share of radiotherapy coupled with rising cancer prevalence brings this issue into the hot spot of the ongoing cost containment efforts by local governments."
What is the aim of mathematical modelling?,There is both medical and political drive to centralise secondary services in larger hospitals throughout the National Health Service. High-volume services in some areas of care have been shown to achieve better outcomes and efficiencies arising from economies of scale. We sought to produce a mathematical model using the historical critical care demand in two District General Hospitals to determine objectively the requisite critical care capacity in a newly built hospital. We also sought to determine how well the new single unit would be able to meet changes in demand. The intention is that the model should be generic and transferable for those looking to merge and rationalise services on to one site. One of the advantages of mathematical modelling is the ability to interrogate the model to investigate any number of different scenarios; some of these are presented.
What is the Small-World Organization of Large-Scale Brain Systems and Relationships,The Small-World Organization of Large-Scale Brain Systems and Relationships With Subcortical Structures.
What is the name of the removing of Bloody Cerebrospinal Fluid in,Choice for the Removal of Bloody Cerebrospinal Fluid in Postcoiling Aneurysmal Subarachnoid Hemorrhage: External Ventricular Drainage or Lumbar Drainage?
What is the potential treatment for non-alcoholic fatty liver disease?,A potential treatment of non-alcoholic fatty liver disease with SIRT1 activators.
What is the name of the study that focuses on the study of the drug-,[Drug-related Anaphylactic Shocks: Under-reporting and PMSI.]
What was the MIC of the two derivatives?,"A compound containing an imidazole moiety and a 2,4-dienone motif with significant activity toward several fungi was discovered in a screen for new antifungal compounds. Then, a total of 26 derivatives of this compound were designed, synthesized and evaluated through in vitro and in vivo antifungal activity assays. Several compounds exhibited improved antifungal activities compared to the lead compound. Of the derivatives, compounds 31 and 42 exhibited strong, broad-spectrum inhibitory effects toward Candida spp. In particular, the two derivatives exhibited potent antifungal activities toward the fluconazole-resistant isolate C. albicans 64110, with both having MIC values of 8 microg/mL. In addition, they had significant inhibitory effects toward two Gram-positive bacteria, Staphylococcus aureus UA1758 (compound 31: MIC = 8 microg/mL; compound 42: MIC = 4 microg/mL) and Staphylococcus epidermidis UF843 (compound 31: MIC = 8 microg/mL; compound 42: MIC = 8 microg/mL). The results of an animal experiment indicated that both compounds could improve the survival rate of model mice infected with ATCC 90028 (fluconazole-susceptible isolate). More importantly, the two compounds exhibited notable in vivo effects toward the fluconazole-resistant C. albicans isolate, which is promising with regard to the clinical problem posed by fluconazole-resistant Candida species."
What was the difference between axial blood velocity and microvessel diameter?,"The axial blood velocity (Vax) association with microvessel diameter (D) was studied at 104 different postcapillary venules (4 mum < D < 24 mum) and 30 different precapillary arterioles (6 mum </= D </= 12 mum) in the human conjunctiva of normal healthy humans. Venular diameter sizes were classified as ""very small"" (Group 1, 4.4 mum </= D < 8.9 mum), ""small"" (Group 2, 8.9 mum </= D < 13.8 mum), ""medium"" (Group 3, 13.8 mum </= D < 19.1 mum) and ""large"" (Group 4, 19.1 mum </= D </= 23.5). The Spearman's correlation coefficient (rs) in all 4 venular groups was less than 0.36 and not statistically significant (n = 26, p >/= 0.08). Similar correlation results were observed for the arteriolar group (rs) approximately 0) for the peak systolic, the average and the end systolic axial velocities. Vax was significantly (p < 0.001) lower in Group 1 in comparison to that in Group 2 and significantly (p < 0.01) lower in Group 2 in comparison to that in Group 3. However, Vax was not significantly lower in Group 3 in comparison to that in Group 4. Average Vax and standard deviation was 0.48 +/- 0.13, 0.64 +/- 0.16, 0.82 +/- 0.25 and 0.88 +/- 0.32 mm/s for Groups 1, 2, 3 and 4 respectively. The above results reinforce the importance of measuring D in microvascular hemodynamics. Higher diameters suggest higher axial velocities but Vax does not change significantly within the limits of each of the aforementioned groups."
What is the name of the Activated Subgroup of Regulatory T Cells Enrich,CD4+ T Cells Expressing Latency-Associated Peptide and Foxp3 Are an Activated Subgroup of Regulatory T Cells Enriched in Patients with Colorectal Cancer.
What is the heart's most vital organ?,"The heart is not only our most vital, but also our most complex organ: Precisely controlled by the interplay of electrical and mechanical fields, it consists of four chambers and four valves, which act in concert to regulate its filling, ejection, and overall pump function. While numerous computational models exist to study either the electrical or the mechanical response of its individual chambers, the integrative electro-mechanical response of the whole heart remains poorly understood. Here we present a proof-of-concept simulator for a four-chamber human heart model created from computer topography and magnetic resonance images. We illustrate the governing equations of excitation-contraction coupling and discretize them using a single, unified finite element environment. To illustrate the basic features of our model, we visualize the electrical potential and the mechanical deformation across the human heart throughout its cardiac cycle. To compare our simulation against common metrics of cardiac function, we extract the pressure-volume relationship and show that it agrees well with clinical observations. Our prototype model allows us to explore and understand the key features, physics, and technologies to create an integrative, predictive model of the living human heart. Ultimately, our simulator will open opportunities to probe landscapes of clinical parameters, and guide device design and treatment planning in cardiac diseases such as stenosis, regurgitation, or prolapse of the aortic, pulmonary, tricuspid, or mitral valve."
What is the stent for endoscopic ultrasound-guided drainage of pancreatic fluid,A novel lumen-apposing metal stent for endoscopic ultrasound-guided drainage of pancreatic fluid collections: a prospective cohort study.
What is the pathogenic mechanism of vitamin D signaling associated with?,"AIM: Altered vitamin D signaling is associated with cardiac dysfunction, but the pathogenic mechanism is not clearly understood. We examine the mechanism and the role of vitamin D signaling in the development of cardiac dysfunction. METHODS AND RESULTS: We analyzed 1alpha-hydroxylase (1alpha-OHase) knockout (1alpha-OHase-/-) mice, which lack 1alpha-OH enzymes that convert the inactive form to hormonally active form of vitamin D. 1alpha-OHase-/- mice showed modest cardiac hypertrophy at baseline. Induction of pressure overload by transverse aortic constriction (TAC) demonstrated exaggerated cardiac dysfunction in 1alpha-OHase-/- mice compared to their WT littermates with a significant increase in fibrosis and expression of inflammatory cytokines. Analysis of calcium (Ca2+) transient demonstrated profound Ca2+ handling abnormalities in 1alpha-OHase-/- mouse cardiomyocytes (CMs), and treatment with paricalcitol (PC), an activated vitamin D3 analog, significantly attenuated defective Ca2+ handling in 1alpha-OHase-/- CMs. We further delineated the effect of vitamin D deficiency condition to TAC by first correcting the vitamin D deficiency in 1alpha-OHase-/- mice, followed then by either a daily maintenance dose of vitamin D or vehicle (to achieve vitamin D deficiency) at the time of sham or TAC. In mice treated with vitamin D, there was a significant attenuation of TAC-induced cardiac hypertrophy, interstitial fibrosis, inflammatory markers, Ca2+ handling abnormalities and cardiac function compared to the vehicle treated animals. CONCLUSIONS: Our results provide insight into the mechanism of cardiac dysfunction, which is associated with severely defective Ca2+ handling and defective vitamin D signaling in 1alpha-OHase-/- mice."
What is the basis of T cell recognition of myelin?,"In this study, we investigate the basis of T cell recognition of myelin that governs the progression from acute symptoms into disease remission, relapse, and chronic progression in a secondary progressive model of demyelinating disease. Until now, the frequency and affinity of myelin-reactive CD4 T cells that elicit relapsing-remitting disease have not been quantified. The micropipette adhesion frequency assay was used to obtain a sensitive and physiologically relevant two-dimensional measurement of frequency and TCR affinity for myelin, as the inherent low affinity does not allow the use of specific peptide:MHC-II tetramers for this purpose. We found the highest affinity and frequency of polyclonal myelin oligodendrocyte glycoprotein-reactive cells infiltrate the CNS during acute disease, whereas affinities during remission, relapse, and chronic disease are not significantly different from each other. Frequency analysis revealed that the vast majority of CNS-infiltrating CD4 T cells are myelin oligodendrocyte glycoprotein reactive at all time points, demonstrating epitope spread is not a predominant factor for disease progression. Furthermore, time points at which mice were symptomatic were characterized by an infiltration of Th17 cells in the CNS, whereas symptom remission showed an enrichment of cells producing IFN-gamma. Also, the ratio of regulatory T cells to Foxp3- CD4 T cells was significantly higher in the CNS at remission than during acute disease. The results of this study indicate that a high frequency of T cells specific for a single myelin Ag, rather than increased TCR affinity or epitope spread, governs the transition from acute symptoms through remission, relapse, and chronic disease states."
What is motivational interviewing?,"To enhance compliance and achieve better outcomes, providers must actively engage their patients and caregivers in different ways than in the past. One strategy that has gained national attention is motivational interviewing through evidence-based health coaching. A closer look at this exciting new clinical skill reveals what it is, how it works, why it is so successful, and why our traditional patient approach has fallen short."
What is Celastramycin A?,"Celastramycin A, a small molecule that inhibits the production of antibacterial peptides in an ex vivo culture system of Drosophila, suppresses the TNFalpha-mediated induction of IL-8 in mammalian cells. To understand its molecular mechanism, we examined Celastramycin A binding proteins and investigated their biological functions. Our screening and subsequent pull-down assay revealed ZFC3H1 (also known as CCDC131 or CSRC2), an uncharacterized zinc finger protein, as a Celastramycin A binding protein. The knockdown of ZFC3H1 reduced IL-8 expression levels in the TNFalpha-stimulated lung carcinoma cell line, LU99, and UV-irradiated HeLa cells. Based on reporter assay results, we concluded that ZFC3H1 participates in the transcriptional activation of IL-8. The findings of our UV-irradiation experiments implied that ZFC3H1 may indirectly interact with ERCC1 in an activated DNA repair complex. Thus, we designated ZFC3H1 as a mammalian target of Celastramycin A (mTOC)."
What is the aetiology of pregnancy?,"BACKGROUND: Hypertensive disorders in pregnancy are among the leading causes of maternal and perinatal death in low-income countries, but the aetiology remains unclear. We investigated the relationship between salinity in drinking water and the risk of (pre)eclampsia and gestational hypertension in a coastal community. METHODS: A population-based case-control study was conducted in Dacope, Bangladesh among 202 pregnant women with (pre)eclampsia or gestational hypertension, enrolled from the community served by the Upazilla Health Complex, Dacope and 1,006 matched controls from the same area. Epidemiological and clinical data were obtained from all participants. Urinary sodium and sodium levels in drinking water were measured. Logistic regression was used to calculate odds ratios, and 95% confidence intervals. FINDINGS: Drinking water sources had exceptionally high sodium levels (mean 516.6 mg/L, S.D 524.2). Women consuming tube-well (groundwater) were at a higher disease risk than rainwater users (p<0.001). Adjusted risks for (pre)eclampsia and gestational hypertension considered together increased in a dose-response manner for increasing sodium concentrations (300.01-600 mg/L, 600.1-900 mg/L, >900.01 mg/L, compared to <300 mg/L) in drinking water (ORs 3.30 [95% CI 2.00-5.51], 4.40 [2.70-7.25] and 5.48 [3.30-9.11] (p-trend<0.001). Significant associations were seen for both (pre)eclampsia and gestational hypertension separately. INTERPRETATION: Salinity in drinking water is associated with increased risk of (pre)eclampsia and gestational hypertension in this population. Given that coastal populations in countries such as Bangladesh are confronted with high salinity exposure, which is predicted to further increase as a result of sea level rise and other environmental influences, it is imperative to develop and evaluate affordable approaches to providing water with low salt content."
What is the main role of elevation of plasma epinephrine in normalizing,"In Type 1 and advanced Type 2 diabetes mellitus, elevation of plasma epinephrine plays a key role in normalizing plasma glucose during hypoglycaemia. However, recurrent hypoglycaemia blunts this elevation of plasma epinephrine. To determine whether recurrent hypoglycaemia affects peripheral components of the sympatho-adrenal system responsible for epinephrine release, male rats were administered subcutaneous insulin daily for 3 days. These recurrent hypoglycaemic animals showed a smaller elevation of plasma epinephrine than saline-injected controls when subjected to insulin-induced hypoglycaemia. Electrical stimulation of an adrenal branch of the splanchnic nerve in recurrent hypoglycaemic animals elicited less release of epinephrine and norepinephrine than in controls, without a change in adrenal catecholamine content. Responsiveness of isolated, perfused adrenal glands to acetylcholine and other acetylcholine receptor agonists was also unchanged. These results indicate that recurrent hypoglycaemia compromised the efficacy with which peripheral neuronal activity stimulates adrenal catecholamine release and demonstrate that peripheral components of the sympatho-adrenal system were directly affected by recurrent hypoglycaemia."
What is the role of IGF1R signaling pathway in the neuropathogenic process of,"Heterozygous Gigyf2+/- mice exhibits histopathological evidence of neurodegeneration such as motor dysfunction. Several lines of evidence have demonstrated the important role of insulin-like growth factor-1 receptor (IGF1R) signaling pathway in the neuropathogenic process of cognitive impairment, while decreased Grb10-Interacting GYF Protein 2 (GIGYF2) expression can alter IGF1R trafficking and its downstream signaling pathways. Growth factor receptor-bound protein 10 (Grb10), a suppressor of IGF1R pathway, has been shown to play a critical role in regulating diabetes-associated cognitive impairment. It remains unknown whether endogenous GIGYF2 expression contributes to the development of diabetes-associated cognitive impairment. Using streptozotocin (STZ)-induced diabetic mice model, we first demonstrated that a significantly increased level of GIGYF2 expression was correlated with a significant decrease in the expression of phosphorylated IGF1R as well as the phosphorylation of AKT and ERK1/2, two signaling pathways downstream of IGF1R, in the hippocampus of diabetic mice. On the contrary, in situ knockdown of GIGYF2 expression in hippocampus resulted in increased expression of phosphorylated IGF1R expression and correspondingly reversed the down-regulation of ERK1/2 phsophorylation but had no obvious effect on Grb10 expression. Functionally, knockdown of GIGYF2 expression markedly ameliorated diabetes-associated cognitive dysfunction as well as the ultrastructural pathology and abnormal neurobehavioral changes. These results suggest that increased expression of GIGYF2 might contribute to the development of diabetes-associated cognitive disorder via negatively regulating IGF1R signaling pathway. Therefore, down-regulation of GIGYF2 expression may provide a potential novel approach to treat diabetes-associated cognitive impairment caused by aberrant IGF1R signaling pathway."
How Kinetochores CCAN Resist Force?,How Kinetochores CCAN Resist Force.
What is the hypothalamic-pituitary-adrenal axi,"The hypothalamic-pituitary-adrenal axis, autonomic nervous system, and immune system have been proposed to underlie the antidepressant effect of exercise. Using a population sample of 715 adolescents, we examined whether pathways from exercise to affective and somatic symptoms of depression were mediated by these putative mechanisms. Exercise (hours/week) and depressive symptoms were assessed at age 13.5 (+/- 0.5) and 16.1 (+/- 0.6). Cortisol and heart rate responses to a standardized social stress test and C-reactive protein levels were measured at age 16. Exercise was prospectively and inversely related to affective (B = -0.16, 95% CI = -0.30 to -0.03) but not somatic symptoms (B = -0.04, 95% CI = -0.21 to 0.13). Heart rate during social stress partially mediated this relationship (B = -0.03, 95% CI = -0.07 to -0.01). No other mediating effects were found. Hence, the autonomic stress system may play a role in the relationship between exercise and depressive symptoms."
What is the name of the Detection of Colorectal Cancer?,Detection of Colorectal Cancer (CRC) by Urinary Volatile Organic Compound Analysis.
What is the Squamous Cell Carcinoma of the Pharynx or,Phase II Study of Concurrent Chemoradiotherapy with S-1 in Patients with Stage II (T2N0M0) Squamous Cell Carcinoma of the Pharynx or Larynx.
What is the name of the class of Veterans with multiple risk factors?,Identifying Classes of Veterans With Multiple Risk Factors.
What is the name of the plant that is derived from?,"Pulmonary problems are among the most frequent chronic complications of sulfur mustard (SM) intoxication and are often accompanied by deregulated production of pro-inflammatory cytokines. Curcuminoids, comprising curcumin, demethoxycurcumin and bisdemethoxycurcumin, are phytochemicals with remarkable anti-inflammatory properties that are derived from dried rhizomes of the plant Curcuma longa L. (turmeric). The present pilot study aimed to investigate the clinical effects of supplementation with curcuminoids on markers of pulmonary function and systemic inflammation in SM-intoxicated subjects. In a randomized double-blind placebo-controlled trial, 89 male subjects who were suffering from chronic SM-induced pulmonary complications were recruited and assigned to either curcuminoids (500 mg TID per oral; n=45) or placebo (n=44) for a period of 4 weeks. Efficacy measures were changes in the spirometric parameters (FVC, FEV1, FEV1/FVC) and serum levels of inflammatory mediators including interleukins 6 (IL-6) and 8 (IL-8), tumor necrosis factor-alpha (TNFalpha), transforming growth factor-beta (TGFbeta), high-sensitivity C-reactive protein (hs-CRP), calcitonin gene related peptide (CGRP), substance P and monocyte chemotactic protein-1 (MCP-1). 78 subjects completed the trial. Although FEV1 and FVC remained comparable between the groups, there was a greater effect of curcuminoids vs. placebo in improving FEV1/FVC (p=0.002). Curcuminoids were also significantly more efficacious compared to placebo in modulating all assessed inflammatory mediators: IL-6 (p<0.001), IL-8 (p=0.035), TNFalpha (p<0.001), TGFbeta (p<0.001), substance P (p=0.016), hs-CRP (p<0.001), CGRP (p<0.001) and MCP-1 (p<0.001). Curcuminoids were safe and well-tolerated throughout the trial. Short-term adjunctive therapy with curcuminoids can suppress systemic inflammation in patients suffering from SM-induced chronic pulmonary complications."
What is the name of the treatment that is not used for anti-cytokine biologic treatment,Anti-cytokine biologic treatment beyond anti-TNF in Behcet's disease.
What is the effect of alpha-Targeted Radiation Therapy on Gene Expression?,Impact of alpha-Targeted Radiation Therapy on Gene Expression in a Pre-Clinical Model for Disseminated Peritoneal Disease when Combined with Paclitaxel.
What is the PI3K/Akt signaling pathway constitutively activated in some,"OBJECTIVE: The PI3K/Akt signaling pathway is constitutively activated in some ovarian cancers; when activated, it promotes invasion and inhibits chemotherapy-mediated apoptosis in cancer cells. The fungal metabolite wortmannin is the currently known inhibitors that show fairly high specificity for PI3K.We examined whether PI3K/Akt activity correlates with invasion and apoptotic resistance to chemotherapy in cultured human ovarian cancer cells, and whether inhibition of PI3K/Akt by wortmannin inhibits invasion and enhances cisplatin-induced apoptosis in cultured human ovarian cancer cells. MATERIALS AND METHODS: The cisplatin-sensitive A2780 ovarian adenocarcinoma cell line and its daughter line, A2780cis was evaluated for basal Akt activity. Chemotherapy-induced cell death was evaluated following down-regulation of Akt activity by wortmannin treatment or upregulation of Akt activity by myr-Akt treatment. Invasion and migration were assessed using Boyden chamber assays RESULTS: Inhibiting or activation of PI3K/Akt signaling pathway by wortmannin had little effect on the basal level of apoptosis in ovarian cancer cells, but increased the apoptotic effect of chemotherapy in A2780cis cells, decreased the apoptotic effect of chemotherapy in cisplatin-sensitive A2780 cells. Cisplatin resistant cells display increased potential for migration and invasion. CONCLUSIONS: The antiapoptotic effect of AKT activation in ovarian cancer cells confer invasive ability and resistance to apoptosis. Wortmannin is as adjuncts to conventional chemotherapy in the treatment of ovarian cancer."
